event_id,start_time,end_time,duration_minutes,min_margin_level,min_margin_time,max_used_margin,min_free_margin,max_floating_loss,worst_threshold_crossed,thresholds_crossed,largest_used_margin_contributor,largest_used_margin_contribution_pct,EURUSD_open_positions_at_min,GBPUSD_open_positions_at_min,USDCHF_open_positions_at_min
evt_1763503502_191,2025-11-18 22:05:02,2025-11-18 22:30:00,24,275.82,2025-11-18 22:05:02,12246.53,21531.47,-652.88,300.0,300,GBPUSD,51.03,2,2,1
evt_1763512217_192,2025-11-19 00:30:17,2025-11-19 01:45:00,74,276.27,2025-11-19 00:30:17,12241.96,21574.94,-640.2,300.0,300,GBPUSD,51.02,2,2,1
evt_1763517904_193,2025-11-19 02:05:04,2025-11-19 07:45:00,339,275.28,2025-11-19 07:30:00,12242.66,21457.48,-781.18,300.0,300,GBPUSD,51.0,2,2,1
evt_1763543400_194,2025-11-19 09:10:00,2025-11-19 11:15:00,125,273.78,2025-11-19 09:30:00,12246.31,21281.79,-978.11,300.0,300,GBPUSD,51.0,2,2,1
evt_1763559306_195,2025-11-19 13:35:06,2025-11-19 16:15:00,159,274.35,2025-11-19 15:15:00,12236.39,21322.82,-979.27,300.0,300,GBPUSD,50.94,2,2,1
evt_1763676000_196,2025-11-20 22:00:00,2025-11-21 02:30:00,270,297.32,2025-11-20 23:00:00,11127.17,21943.27,-1745.22,300.0,300,GBPUSD,55.82,1,2,2
evt_1763695800_197,2025-11-21 03:30:00,2025-11-21 03:45:00,15,299.51,2025-11-21 03:45:00,11126.23,22197.36,-1455.23,300.0,300,GBPUSD,55.85,1,2,2
evt_1763724600_198,2025-11-21 11:30:00,2025-11-24 14:15:00,4485,291.88,2025-11-21 18:30:00,11146.0,21360.67,-2294.49,300.0,300,GBPUSD,55.83,1,2,2
evt_1763996400_199,2025-11-24 15:00:00,2025-11-25 14:30:00,1410,266.47,2025-11-25 14:25:01,12424.93,20677.29,-1944.68,300.0,300,GBPUSD,50.18,1,2,3
evt_1764970205_200,2025-12-05 21:30:05,2025-12-08 02:30:00,3179,283.62,2025-12-08 02:30:00,11997.64,22029.57,-1446.13,300.0,300,EURUSD,61.56,3,1,1
evt_1765161900_201,2025-12-08 02:45:00,2025-12-08 04:00:00,75,282.78,2025-12-08 04:00:00,12000.15,21933.5,-1565.87,300.0,300,EURUSD,61.56,3,1,1
evt_1765186200_202,2025-12-08 09:30:00,2025-12-08 10:15:00,45,280.86,2025-12-08 09:30:00,12002.08,21707.47,-1816.2,300.0,300,EURUSD,61.6,3,1,1
evt_1765360800_203,2025-12-10 10:00:00,2025-12-10 16:45:00,405,282.47,2025-12-10 10:30:00,12022.99,21938.09,-1732.91,300.0,300,EURUSD,61.46,3,1,1
evt_1765475100_204,2025-12-11 17:45:00,2025-12-11 18:00:00,15,297.72,2025-12-11 18:00:00,10025.31,19822.24,-5899.56,300.0,300,EURUSD,74.36,3,0,2
evt_1765478700_205,2025-12-11 18:45:00,2026-01-09 15:30:00,41565,124.13,2025-12-24 04:00:00,20691.82,4993.74,-10476.99,150.0,"300,200,150",EURUSD,48.5,4,2,3
evt_1771495200_206,2026-02-19 10:00:00,2026-02-25 19:00:00,9180,208.51,2026-02-24 23:45:00,17594.23,19033.28,-4494.12,300.0,300,GBPUSD,43.82,2,2,3
evt_1772103600_207,2026-02-26 11:00:00,2026-02-26 17:15:00,375,276.12,2026-02-26 17:15:00,13736.65,24153.59,-3008.75,300.0,300,EURUSD,42.11,2,1,3
evt_1772488800_208,2026-03-02 22:00:00,2026-03-13 10:00:47,15120,174.53,2026-03-04 13:00:00,20325.79,14817.46,-10980.93,200.0,"300,200",EURUSD,42.17,3,2,3
evt_1773635101_209,2026-03-16 04:25:01,2026-03-16 04:25:01,0,299.59,2026-03-16 04:25:01,9890.58,19740.5,-11611.71,300.0,300,EURUSD,85.15,3,0,1
evt_1773646200_210,2026-03-16 07:30:00,2026-03-16 07:45:00,15,299.63,2026-03-16 07:45:00,9891.09,19745.93,-11605.77,300.0,300,EURUSD,85.14,3,0,1
evt_1773659400_211,2026-03-16 11:10:00,2026-03-16 11:10:00,0,295.06,2026-03-16 11:10:00,9882.34,19276.65,-12115.13,300.0,300,EURUSD,85.12,3,0,1
evt_1773669600_212,2026-03-16 14:00:00,2026-03-19 19:45:00,4665,188.03,2026-03-16 17:30:00,16641.03,14631.34,-11865.49,200.0,"300,200",EURUSD,67.98,4,1,1
evt_1773951600_213,2026-03-19 20:20:00,2026-03-19 20:20:00,0,274.63,2026-03-19 20:20:00,12842.25,22427.03,-6334.93,300.0,300,EURUSD,88.55,4,0,1
evt_1773960900_214,2026-03-19 22:55:00,2026-03-20 02:30:00,215,281.42,2026-03-20 02:30:00,12868.66,23327.82,-5412.53,300.0,300,EURUSD,88.59,4,0,1
evt_1773979500_215,2026-03-20 04:05:00,2026-03-20 12:00:00,475,272.25,2026-03-20 08:45:00,12859.12,22110.29,-6682.69,300.0,300,EURUSD,88.56,4,0,1
